STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;TMAX
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;01.08.1945;35
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;02.08.1945;36,7
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;03.08.1945;38,3
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;04.08.1945;38,9
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;05.08.1945;39,4
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;06.08.1945;38,3
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;07.08.1945;32,2
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;08.08.1945;32,2
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;09.08.1945;35
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;10.08.1945;36,7
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;11.08.1945;37,2
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;12.08.1945;36,7
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;13.08.1945;37,8
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;14.08.1945;38,9
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;15.08.1945;38,3
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;16.08.1945;39,4
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;17.08.1945;40,6
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;18.08.1945;42,2
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;19.08.1945;42,8
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;20.08.1945;35,6
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;21.08.1945;35
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;22.08.1945;35,6
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;23.08.1945;35,6
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;24.08.1945;32,8
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;25.08.1945;38,9
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;26.08.1945;35,6
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;27.08.1945;36,1
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;28.08.1945;34,4
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;29.08.1945;23,9
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;30.08.1945;33,3
USC00412715;EASTLAND, TX US;32.39889;-98.8175;438,3;31.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;01.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;02.08.1945;35,6
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;03.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;04.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;05.08.1945;38,3
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;06.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;07.08.1945;36,1
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;08.08.1945;32,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;09.08.1945;36,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;10.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;11.08.1945;37,8
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;12.08.1945;36,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;13.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;14.08.1945;37,8
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;15.08.1945;38,3
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;16.08.1945;39,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;17.08.1945;40,6
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;18.08.1945;41,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;19.08.1945;42,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;20.08.1945;37,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;21.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;22.08.1945;32,2
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;23.08.1945;31,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;24.08.1945;31,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;25.08.1945;32,8
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;26.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;27.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;28.08.1945;34,4
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;29.08.1945;31,1
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;30.08.1945;31,7
USC00411875;COLEMAN, TX US;31.8277;-99.432;524,6;31.08.1945;33,3
