"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-01","12.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-02","8.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-03","8.3"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-04","12.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-05","15.6"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-06","18.3"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-07","18.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-08","19.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-09","22.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-10","22.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-11","12.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-12","7.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-13","6.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-14","15.0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-15","18.3"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-16","17.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-17","16.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-18","19.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-19","19.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-20","11.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-21","16.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-22","15.0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-23","16.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-24","15.6"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-25","21.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-26","21.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-27","27.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-28","26.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-29","27.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-30","25.6"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1975-01-31","24.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-01","11.7"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-02","4.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-03","11.1"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-04","10.6"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-05","12.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-06","12.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-07","20.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-08","21.7"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-09","18.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-10","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-11","12.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-12","5.6"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-13","-2.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-14","11.1"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-15","16.7"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-16","20.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-17","10.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-18","14.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-19","20.6"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-20","15.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-21","15.6"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-22","18.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-23","10.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-24","5.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-25","17.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-26","24.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-27","28.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-28","29.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-29","20.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-30","20.6"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1975-01-31","11.7"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-01","11.7"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-02","5.6"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-03","10.6"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-04","8.9"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-05","10.6"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-06","14.4"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-07","18.9"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-08","21.7"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-09","17.8"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-10","21.7"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-11","13.3"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-12","7.8"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-13","-2.2"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-14","2.8"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-15","15.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-16","14.4"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-17","15.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-18","10.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-19","14.4"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-20","10.6"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-21","15.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-22","16.1"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-23","8.9"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-24","12.8"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-25","17.8"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-26","23.9"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-27","25.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-28","27.2"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-29","21.1"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-30","15.0"
"USC00412715","EASTLAND, TX US","32.39889","-98.8175","438.3","1975-01-31","15.6"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-01","13.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-02","3.9"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-03","15.0"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-04","11.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-05","15.0"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-06","17.8"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-07","21.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-08","23.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-09","20.6"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-10","25.6"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-11","16.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-12","8.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-13","-2.2"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-14","12.8"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-15","18.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-16","21.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-17","7.8"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-18","18.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-19","22.2"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-20","11.1"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-21","16.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-22","22.2"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-23","8.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-24","4.4"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-25","21.1"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-26","26.1"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-27","29.4"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-28","28.3"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-29","21.7"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-30","21.1"
"USC00418022","SANDERSON, TX US","30.1414","-102.3917","849.8","1975-01-31","15.6"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-01","24.4"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-02","10.6"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-03","15.0"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-04","8.3"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-05","12.2"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-06","17.8"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-07","20.6"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-08","21.7"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-09","21.1"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-10","22.8"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-11","16.1"
"USC00411870","COLDSPRING 5 SSW, TX US","30.53333","-95.15","108.2","1975-01-12","15.0"
