"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-01","27.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-02","28.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-03","27.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-04","27.1"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-05","26.9"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-06","27.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-07","26.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-08","27.8"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-09","28.1"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-10","28.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-11","28.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-12","28.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-13","28.8"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-14","28.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-15","28.1"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-16","27.1"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-17","28.0"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-18","28.9"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-19","29.9"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-20","29.2"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-21","29.1"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-22","27.5"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-23","29.0"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-24","28.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-25","27.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-26","28.8"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-27","29.0"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-28","27.7"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-29","28.5"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-30","27.6"
"USR0000TBRA","BRAZORIA NWR TEXAS, TX US","29.1417","-95.2917","3.0","2005-08-31","27.9"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-01","27.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-02","26.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-03","26.0"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-04","25.9"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-05","27.2"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-06","27.3"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-07","25.6"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-08","24.1"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-09","23.3"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-10","26.1"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-11","27.5"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-12","26.9"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-13","27.5"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-14","25.1"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-15","24.6"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-16","24.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-17","26.6"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-18","26.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-19","27.5"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-20","27.8"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-21","28.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-22","27.5"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-23","27.8"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-24","28.6"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-25","28.7"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-26","28.8"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-27","29.1"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-28","27.8"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-29","26.9"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-30","26.8"
"USR0000TSOU","SOUTHERN ROUGH TEXAS, TX US","30.5403","-94.3411","30.5","2005-08-31","27.6"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-01","27.4"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-02","27.8"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-03","27.1"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-04","26.3"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-05","27.3"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-06","27.7"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-07","27.3"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-08","25.0"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-09","25.4"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-10","27.4"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-11","28.0"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-12","28.2"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-13","29.2"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-14","28.9"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-15","26.7"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-16","27.3"
"USR0000TMCF","MCFADDEN TEXAS, TX US","29.7","-94.1167","1.5","2005-08-17","27.9"
