STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;WDMV
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;01.01.1953;74
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;02.01.1953;169
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;03.01.1953;167
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;04.01.1953;106
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;05.01.1953;93
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;06.01.1953;177
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;07.01.1953;275
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;08.01.1953;237
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;09.01.1953;307
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;10.01.1953;166
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;11.01.1953;37
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;12.01.1953;151
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;13.01.1953;153
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;14.01.1953;219
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;15.01.1953;237
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;16.01.1953;196
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;17.01.1953;220
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;18.01.1953;76
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;19.01.1953;154
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;20.01.1953;257
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;21.01.1953;113
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;22.01.1953;166
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;23.01.1953;312
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;24.01.1953;108
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;25.01.1953;76
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;26.01.1953;253
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;27.01.1953;233
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;29.01.1953;137
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;30.01.1953;206
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;31.01.1953;140
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;01.02.1953;214
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;02.02.1953;26
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;03.02.1953;106
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;04.02.1953;130
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;05.02.1953;114
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;06.02.1953;114
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;07.02.1953;113
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;08.02.1953;151
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;09.02.1953;264
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;10.02.1953;163
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;11.02.1953;195
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;12.02.1953;146
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;13.02.1953;82
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;14.02.1953;148
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;15.02.1953;87
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;16.02.1953;87
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;17.02.1953;153
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;18.02.1953;127
