STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;18.01.1979;1,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;19.01.1979;2,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;20.01.1979;8,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;21.01.1979;3,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;22.01.1979;3,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;23.01.1979;4,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;04.02.1979;0,5
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;12.02.1979;3,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;13.02.1979;2,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;14.02.1979;0,5
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;15.02.1979;7,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;22.02.1979;0,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;23.02.1979;3,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;24.02.1979;5,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;28.02.1979;4,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;01.03.1979;4,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;02.03.1979;5,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;03.03.1979;0,5
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;07.03.1979;6,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;08.03.1979;7,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;09.03.1979;8,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;10.03.1979;6,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;11.03.1979;3,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;12.03.1979;3,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;13.03.1979;5,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;14.03.1979;10,7
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;15.03.1979;6,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;16.03.1979;0,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;17.03.1979;1,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;18.03.1979;0,5
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;19.03.1979;2
