STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;PRCP
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;01.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;04.01.1950;26,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;05.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;06.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;07.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;08.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;09.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;10.01.1950;2,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;11.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;12.01.1950;5,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;13.01.1950;46,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;14.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;15.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;16.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;17.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;18.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;19.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;20.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;21.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;22.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;23.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;24.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;25.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;26.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;27.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;28.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;29.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;30.01.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;31.01.1950;24,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;01.02.1950;18
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;02.02.1950;33,5
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;03.02.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;06.02.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;07.02.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;08.02.1950;0
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;09.02.1950;3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;10.02.1950;0
