STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;TOBS
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;03.07.1950;24,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;05.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;06.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;07.07.1950;24,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;10.07.1950;23,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;11.07.1950;22,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;12.07.1950;24,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;13.07.1950;23,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;14.07.1950;22,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;17.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;18.07.1950;26,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;19.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;20.07.1950;25
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;21.07.1950;24,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;24.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;25.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;26.07.1950;24,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;27.07.1950;21,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;28.07.1950;23,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;31.07.1950;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;01.07.1953;27,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;02.07.1953;28,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;03.07.1953;28,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;04.07.1953;28,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;05.07.1953;27,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;06.07.1953;28,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;07.07.1953;29,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;08.07.1953;30
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;09.07.1953;31,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;10.07.1953;30,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;11.07.1953;25
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;12.07.1953;25
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;13.07.1953;18,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;14.07.1953;20
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;15.07.1953;22,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;16.07.1953;27,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;17.07.1953;23,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;18.07.1953;26,1
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;19.07.1953;25
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;20.07.1953;25
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;21.07.1953;29,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;22.07.1953;29,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;23.07.1953;30
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;24.07.1953;28,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;25.07.1953;27,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;26.07.1953;25,6
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;27.07.1953;28,9
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;28.07.1953;28,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;29.07.1953;27,2
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;30.07.1953;28,3
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;31.07.1953;29,4
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;01.08.1953;27,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;02.08.1953;27,8
USC00410691;BENBROOK DAM, TX US;32,6475;-97,4439;240,8;03.08.1953;25,6
