STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;WDMV
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.09.1963;82
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.09.1963;61
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.09.1963;68
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.09.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.09.1963;48
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.09.1963;56
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.09.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.09.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.09.1963;90
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.09.1963;8
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.09.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.09.1963;60
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.09.1963;55
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.09.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.09.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.09.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.09.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.09.1963;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.09.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.09.1963;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.09.1963;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.09.1963;48
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.09.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.09.1963;39
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.09.1963;63
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.09.1963;56
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.09.1963;40
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.09.1963;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.09.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.09.1963;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.10.1963;55
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.10.1963;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.10.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.10.1963;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.10.1963;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.10.1963;39
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.10.1963;23
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.10.1963;21
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.10.1963;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.10.1963;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.10.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.10.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.10.1963;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.10.1963;43
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.10.1963;48
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.10.1963;24
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.10.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.10.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.10.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.10.1963;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.10.1963;55
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.10.1963;50
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.10.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.10.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.10.1963;23
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.10.1963;45
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.10.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.10.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.10.1963;23
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.10.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;31.10.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.11.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.11.1963;3
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.11.1963;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.11.1963;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.11.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.11.1963;3
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.11.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.11.1963;37
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.11.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.11.1963;39
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.11.1963;43
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.11.1963;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.11.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.11.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.11.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.11.1963;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.11.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.11.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.11.1963;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.11.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.11.1963;10
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.11.1963;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.11.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.11.1963;71
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.11.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.11.1963;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.11.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.11.1963;0
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.11.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.11.1963;3
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.12.1963;40
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.12.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.12.1963;24
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.12.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.12.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.12.1963;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.12.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.12.1963;69
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.12.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.12.1963;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.12.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.12.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.12.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.12.1963;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.12.1963;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.12.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.12.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.12.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.12.1963;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.12.1963;40
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.12.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.12.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.12.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.12.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.12.1963;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.12.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.12.1963;45
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;31.12.1963;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.01.1964;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.01.1964;14
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.01.1964;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.01.1964;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.01.1964;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.01.1964;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.01.1964;48
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.01.1964;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.01.1964;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.01.1964;68
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.01.1964;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.01.1964;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.01.1964;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.01.1964;0
